"incident_id";"client_id";"job_id";"analyst_id";"incident_category";"priority";"status";"root_cause";"created_date";"resolved_date";"resolution_time"
1;3;3;3;"Claim Processing Delay";"Medium";"Resolved";"Invalid Input Data";"2024-10-24 12:53:50";"2024-10-27 08:53:50";4080
2;8;10;7;"Payment Posting Failure";"Medium";"Resolved";"Database Lock";"2024-10-17 11:29:18";"2024-10-19 13:29:18";3000
3;3;8;8;"Claim Processing Delay";"High";"In Progress";"Network Issue";"2025-02-14 15:59:01";"";0
4;2;6;7;"Payment Posting Failure";"Low";"Resolved";"API Failure";"2024-10-08 14:04:33";"2024-10-11 11:04:33";4140
5;7;4;1;"Eligibility Verification Failure";"Medium";"Open";"Invalid Input Data";"2024-05-04 21:45:07";"";0
6;6;3;7;"Eligibility Verification Failure";"High";"Open";"Server Downtime";"2025-01-02 22:54:32";"";0
7;6;7;7;"ETL Failure";"Low";"Resolved";"API Failure";"2024-04-15 11:47:45";"2024-04-18 06:47:45";4020
8;14;1;3;"Claim Processing Delay";"Medium";"Resolved";"Database Lock";"2024-04-08 03:21:05";"2024-04-10 01:21:05";2760
9;6;1;10;"Claim Processing Delay";"High";"Resolved";"Database Lock";"2024-04-26 20:24:19";"2024-04-29 01:24:19";3180
10;3;5;1;"Claim Processing Delay";"Critical";"In Progress";"Network Issue";"2025-03-11 17:09:33";"";0
11;7;4;3;"Database Timeout";"Low";"Resolved";"Invalid Input Data";"2024-02-26 05:26:13";"2024-02-28 22:26:13";3900
12;8;1;3;"Database Timeout";"Medium";"In Progress";"Database Lock";"2024-11-06 05:32:39";"";0
13;12;9;3;"ETL Failure";"Medium";"Open";"API Failure";"2024-11-05 14:04:03";"";0
14;3;4;7;"Database Timeout";"Low";"Resolved";"API Failure";"2024-07-12 23:07:44";"2024-07-15 01:07:44";3000
15;11;2;3;"Payment Posting Failure";"Medium";"Resolved";"Server Downtime";"2024-08-15 14:28:16";"2024-08-17 08:28:16";2520
16;8;5;7;"Payment Posting Failure";"Critical";"In Progress";"Database Lock";"2024-05-03 19:48:03";"";0
17;10;10;3;"Eligibility Verification Failure";"High";"In Progress";"API Failure";"2024-06-02 12:35:35";"";0
18;10;5;3;"Claim Processing Delay";"Critical";"Resolved";"Database Lock";"2024-07-21 17:04:42";"2024-07-23 23:04:42";3240
19;13;4;7;"Payment Posting Failure";"Critical";"In Progress";"API Failure";"2024-03-28 06:01:23";"";0
20;3;9;5;"Database Timeout";"Critical";"Resolved";"Network Issue";"2025-01-31 23:53:31";"2025-02-03 08:53:31";3420
21;3;7;9;"Payment Posting Failure";"High";"Resolved";"Database Lock";"2024-08-11 07:27:23";"2024-08-12 09:27:23";1560
22;15;5;7;"ETL Failure";"High";"Resolved";"API Failure";"2024-10-13 18:52:48";"2024-10-16 18:52:48";4320
23;11;10;6;"Database Timeout";"Medium";"Open";"Network Issue";"2024-11-02 13:00:54";"";0
24;3;8;3;"Database Timeout";"Low";"Open";"API Failure";"2024-10-29 03:54:03";"";0
25;15;3;4;"Database Timeout";"Medium";"In Progress";"Database Lock";"2024-10-24 05:11:32";"";0
26;14;8;2;"Eligibility Verification Failure";"Critical";"Resolved";"API Failure";"2024-05-11 15:22:01";"2024-05-12 01:22:01";600
27;15;9;5;"ETL Failure";"Low";"Resolved";"Server Downtime";"2024-01-04 01:27:25";"2024-01-06 22:27:25";4140
28;1;6;3;"Payment Posting Failure";"Medium";"Open";"Network Issue";"2024-11-04 13:30:57";"";0
29;4;4;1;"Eligibility Verification Failure";"High";"In Progress";"API Failure";"2024-11-20 10:48:48";"";0
30;3;8;2;"Claim Processing Delay";"Medium";"Resolved";"Server Downtime";"2024-06-02 23:27:36";"2024-06-05 23:27:36";4320
31;4;9;1;"ETL Failure";"High";"Open";"Invalid Input Data";"2024-04-16 08:59:38";"";0
32;2;9;1;"Payment Posting Failure";"Medium";"Resolved";"Database Lock";"2024-05-05 03:17:07";"2024-05-06 23:17:07";2640
33;13;7;7;"Claim Processing Delay";"Medium";"Resolved";"Invalid Input Data";"2025-02-08 20:38:34";"2025-02-08 22:38:34";120
34;14;2;2;"Claim Processing Delay";"High";"Resolved";"Database Lock";"2024-03-03 06:38:31";"2024-03-04 03:38:31";1260
35;13;8;9;"Database Timeout";"Medium";"Resolved";"Database Lock";"2024-01-16 19:54:54";"2024-01-18 10:54:54";2340
36;3;1;10;"Database Timeout";"High";"In Progress";"Invalid Input Data";"2024-11-28 01:06:40";"";0
37;1;3;8;"Eligibility Verification Failure";"High";"Resolved";"Database Lock";"2024-01-27 20:22:19";"2024-01-29 21:22:19";2940
38;9;9;8;"Claim Processing Delay";"High";"Open";"Network Issue";"2024-08-12 07:08:36";"";0
39;6;4;7;"Claim Processing Delay";"Medium";"Resolved";"Invalid Input Data";"2024-07-20 19:08:57";"2024-07-21 16:08:57";1260
40;2;1;8;"Eligibility Verification Failure";"Critical";"Resolved";"Invalid Input Data";"2024-05-19 14:44:16";"2024-05-21 05:44:16";2340
41;13;3;1;"Eligibility Verification Failure";"High";"Open";"Network Issue";"2024-01-28 15:38:22";"";0
42;14;8;5;"ETL Failure";"Medium";"In Progress";"API Failure";"2025-01-06 09:46:05";"";0
43;2;9;9;"Claim Processing Delay";"Medium";"Resolved";"Invalid Input Data";"2024-03-19 00:39:11";"2024-03-21 08:39:11";3360
44;14;3;6;"Claim Processing Delay";"Medium";"Resolved";"Invalid Input Data";"2024-07-18 06:02:29";"2024-07-19 04:02:29";1320
45;10;9;7;"Eligibility Verification Failure";"Low";"In Progress";"Invalid Input Data";"2024-11-22 23:57:25";"";0
46;8;4;3;"Database Timeout";"Medium";"Resolved";"API Failure";"2024-03-16 08:55:13";"2024-03-16 12:55:13";240
47;6;6;10;"Claim Processing Delay";"Critical";"Resolved";"Invalid Input Data";"2024-07-16 23:59:05";"2024-07-17 01:59:05";120
48;3;6;5;"ETL Failure";"Medium";"In Progress";"Database Lock";"2025-02-16 07:52:36";"";0
49;6;1;3;"Database Timeout";"Medium";"Resolved";"Database Lock";"2024-10-21 20:03:28";"2024-10-21 23:03:28";180
50;3;7;3;"Claim Processing Delay";"Medium";"Resolved";"Server Downtime";"2024-05-16 15:48:12";"2024-05-17 19:48:12";1680
51;9;2;2;"ETL Failure";"Medium";"Resolved";"Server Downtime";"2024-10-14 04:55:42";"2024-10-16 20:55:42";3840
52;13;9;4;"Database Timeout";"Medium";"In Progress";"Server Downtime";"2025-02-16 13:42:17";"";0
53;14;4;2;"Database Timeout";"Medium";"Open";"Network Issue";"2024-07-07 19:47:22";"";0
54;10;9;2;"ETL Failure";"High";"In Progress";"Database Lock";"2024-04-04 17:18:32";"";0
55;3;8;7;"Payment Posting Failure";"High";"Resolved";"API Failure";"2024-07-01 16:05:27";"2024-07-04 13:05:27";4140
56;13;5;9;"Payment Posting Failure";"High";"Open";"Network Issue";"2024-12-18 10:54:10";"";0
57;4;10;7;"ETL Failure";"High";"Open";"Server Downtime";"2024-04-10 17:47:23";"";0
58;3;10;8;"Eligibility Verification Failure";"Low";"Open";"API Failure";"2024-06-07 04:49:38";"";0
