"job_id";"job_name";"job_type";"scheduled_time"
1;"Daily ETL Pipeline";"ETL";"2024-01-01 02:00:00"
2;"Claims Batch Processing";"Batch";"2024-01-01 22:00:00"
3;"Nightly DB Sync";"Database";"2024-01-01 01:00:00"
4;"Payment Reconciliation";"Finance";"2024-01-01 06:00:00"
5;"Eligibility Feed Ingest";"Integration";"2024-01-01 04:00:00"
6;"Member Data Export";"Export";"2024-01-01 07:00:00"
7;"Invoice Generation";"Finance";"2024-01-01 08:00:00"
8;"Audit Log Archival";"Maintenance";"2024-01-01 03:00:00"
9;"API Data Pull";"Integration";"2024-01-01 05:00:00"
10;"Report Distribution";"Reporting";"2024-01-01 09:00:00"
